playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
lovulto01,1965.0,Torey,Lovullo,185.0,73.0,B,R,1988-09-10
lowede01,1973.0,Derek,Lowe,230.0,78.0,R,R,1997-04-26
lowelmi01,1974.0,Mike,Lowell,195.0,76.0,R,R,1998-09-13
lowema01,1983.0,Mark,Lowe,210.0,75.0,L,R,2006-07-07
lowenjo01,1947.0,John,Lowenstein,175.0,72.0,L,R,1970-09-02
lowerde01,1983.0,Devon,Lowery,195.0,73.0,L,R,2008-09-05
lowerte01,1970.0,Terrell,Lowery,180.0,75.0,R,R,1997-09-13
lowese01,1971.0,Sean,Lowe,205.0,74.0,R,R,1997-08-29
lowrije01,1984.0,Jed,Lowrie,180.0,72.0,B,R,2008-04-15
lowrydw01,1957.0,Dwight,Lowry,210.0,75.0,L,R,1984-04-03
lowryno01,1980.0,Noah,Lowry,190.0,74.0,R,L,2003-09-05
loyndmi01,1964.0,Mike,Loynd,210.0,76.0,R,R,1986-07-24
lucased01,1982.0,Ed,Lucas,210.0,75.0,R,R,2013-05-30
lucasga01,1954.0,Gary,Lucas,200.0,77.0,L,L,1980-04-16
lucchfr99,1927.0,Frank,Lucchesi,170.0,67.0,R,R,
